system,pose_count,frame_coverage,translation_rmse_m,rotation_rmse_deg,rpe10_translation_rmse_m,shared_frontend,native_all180_absrel,native_common175_absrel,native_all180_coverage,native_common175_coverage,native_all180_missing_penalty_mae_m,native_common175_missing_penalty_mae_m,native_absrel,native_rmse_m,native_delta1,native_valid_coverage,model_absrel,model_rmse_m,model_delta1,model_valid_coverage,geometry_model_to_gt_mean_m,geometry_observed_gt_to_model_mean_m,geometry_symmetric_chamfer_mean_m
M1,,,,,,,,,,,,,,,,,0.2168408310078043,2.4256455971546043,0.6875359852530112,0.9970648148148148,0.3058951146957697,0.33745536589755587,3.8980824314570417
M2,180,1.0,0.11759686116853764,0.31229522982234525,0.04361878388129485,,0.07380383297851562,0.07360884581027005,1.0,1.0,0.5233563462354369,0.5145968545794927,0.07380383297851562,0.9331203343142584,0.9428148148148148,1.0,0.10584998140058734,1.2027882749672123,0.8895732220106605,0.9940101273148149,0.1819950564815801,0.19456751741682546,2.9971075498585997
M3,175,0.9722222222222222,2.594523587374209,1.116379720440062,0.7957987532266734,,0.2611965576847372,0.2611965576847372,0.9590818865740741,0.9864842261904762,2.773810267973906,1.9959191327731607,0.2611965576847372,1.9808307510748746,0.49424558776100913,0.9590818865740741,0.3199886788056821,2.5411557673918503,0.40910831936732145,0.9918880208333334,0.45902022779259666,0.7361196270245768,2.8259451895876992
M4,,,,,,,0.10684864991692612,0.10465829525962521,0.9857175925925926,0.9856770833333334,1.200982810687681,1.1859245205904003,0.10684864991692612,1.1805155403807495,0.8956314726534063,0.9857175925925926,0.07543509205016187,1.1666274340957297,0.9011856195929265,0.998730613425926,0.06866006729939131,0.07373767452717289,3.0608112145127104
B1,180,1.0,0.11759686116853764,0.31229522982234525,0.04361878388129485,M2,0.07380383297851562,0.07360884581027005,1.0,1.0,0.5233563462354369,0.5145968545794927,0.07380383297851562,0.9331203343142584,0.9428148148148148,1.0,0.1302734776937874,1.5727897686884569,0.8533834816078882,0.9474988425925925,0.4531511799779971,0.21092180997260976,3.2076304583836635
B2,180,1.0,0.7909437377181429,0.7354027244247339,0.25640769092062254,,0.18410531504967548,0.18357018020769175,0.9836984953703704,0.983657738095238,1.7485139181820097,1.7436675712645686,0.18410531504967548,1.5950257240315535,0.6397203604358316,0.9836984953703704,0.1681262583238052,1.8842705658758945,0.8137476441544922,0.9706082175925926,0.46994411964132277,0.3954683426917023,3.553187063985332
